Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A727401,*Evan Hansen,05/21/2016 04:29:00 PM,05/21/2016 04:29:00 PM,Mesa Dr & Far West Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Pointer Mix,Black/White,*Evan Hansen,06/04/2016 18:15,06/04/2016 18:15,12/16/2015,Dog,Neutered Male,5 months,Pointer Mix,Black/White,0
A781752,Edie,10/05/2018 01:07,10/05/2018 01:07,1510 Garnaas Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,French Bulldog Mix,White,Edie,10/09/2018 11:48,10/09/2018 11:48,10/05/2017,Dog,Intact Female,1 year,French Bulldog Mix,White,0
A747411,*Nubbins,04/20/2017 05:44:00 PM,04/20/2017 05:44:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,*Nubbins,04/22/2017 06:29:00 PM,04/22/2017 06:29:00 PM,02/04/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A673396,,02/23/2014 01:40:00 PM,02/23/2014 01:40:00 PM,6803 Pioneer Place in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Longhair Mix,Blue/White,,02/26/2014 03:08:00 PM,02/26/2014 03:08:00 PM,02/23/2013,Cat,Intact Male,1 year,Domestic Longhair Mix,Blue/White,0
A705896,*Colorado,06/22/2015 01:54:00 PM,06/22/2015 01:54:00 PM,5713 Purple Sage Dr in Austin (TX),Stray,Sick,Dog,Intact Male,4 months,Labrador Retriever Mix,Black,*Colorado,07/10/2015 12:27,07/10/2015 12:27,01/22/2015,Dog,Intact Male,5 months,Labrador Retriever Mix,Black,0
A680551,,06/04/2014 11:09,06/04/2014 11:09,1413 North Weston Lance in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue/White,,06/20/2014 06:05:00 PM,06/20/2014 06:05:00 PM,04/12/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,0
A793759,Sky,04/29/2019 02:04:00 PM,04/29/2019 02:04:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,5 months,Rottweiler Mix,Black/Tan,Sky,05/05/2019 13:09,05/05/2019 13:09,10/29/2018,Dog,Spayed Female,6 months,Rottweiler Mix,Black/Tan,0
A803084,Chillona,08/27/2019 11:19:00 AM,08/27/2019 11:19:00 AM,9613 Carson Creek in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,Chillona,09/01/2019 10:50,09/01/2019 10:50,08/27/2016,Cat,Intact Female,3 years,Domestic Shorthair Mix,Tortie,0
A801690,,08/07/2019 15:57,08/07/2019 15:57,2510 Euclid Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,1 day,Domestic Shorthair,Brown Tabby,,09/25/2019 04:17:00 PM,09/25/2019 04:17:00 PM,08/06/2019,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,0
A747894,,04/26/2017 01:07:00 PM,04/26/2017 01:07:00 PM,Old Lockhart Hwy in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby,,07/01/2017 20:01,07/01/2017 20:01,04/15/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A797222,Maya,06/10/2019 18:08,06/10/2019 18:08,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Yorkshire Terrier/Toy Poodle,Black/White,Maya,06/12/2019 16:21,06/12/2019 16:21,03/12/2019,Dog,Spayed Female,3 months,Yorkshire Terrier/Toy Poodle,Black/White,0
A783039,,10/24/2018 03:07:00 PM,10/24/2018 03:07:00 PM,Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Bat Mix,Black,,10/24/2018 03:29:00 PM,10/24/2018 03:29:00 PM,10/24/2016,Other,Unknown,2 years,Bat Mix,Black,1
A732319,Benton,09/25/2016 02:31:00 PM,09/25/2016 02:31:00 PM,Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,White,Benton,09/26/2016 05:52:00 PM,09/26/2016 05:52:00 PM,08/06/2014,Dog,Neutered Male,2 years,Labrador Retriever Mix,White,0
A727816,*Wendy,05/26/2016 12:14:00 PM,05/26/2016 12:14:00 PM,Jollyville Rd And Morado Cir in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black Tabby/White,*Wendy,07/09/2016 17:29,07/09/2016 17:29,04/26/2016,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black Tabby/White,0
A771268,*Pandora,05/02/2018 17:07,05/02/2018 17:07,3036 South 1St Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico,*Pandora,06/20/2018 01:24:00 PM,06/20/2018 01:24:00 PM,03/27/2018,Cat,Spayed Female,2 months,Domestic Longhair Mix,Calico,0
A662171,Bella,12/23/2017 10:21:00 AM,12/23/2017 10:21:00 AM,2900 Kenner Drive in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,5 years,Siberian Husky Mix,Black/White,Bella,12/24/2017 01:27:00 PM,12/24/2017 01:27:00 PM,02/02/2012,Dog,Spayed Female,5 years,Siberian Husky Mix,Black/White,0
A595670,Garfield,10/12/2018 17:29,10/12/2018 17:29,2206 Blue Meadow Trl in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Jack Russell Terrier,White/Tricolor,Garfield,10/12/2018 18:36,10/12/2018 18:36,03/22/2008,Dog,Neutered Male,10 years,Jack Russell Terrier,White/Tricolor,0
A734356,Eva Clare,09/05/2016 14:48,09/05/2016 14:48,4611 Franklin Park Dr in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby,Eva Clare,10/18/2016 10:31:00 PM,10/18/2016 10:31:00 PM,08/14/2016,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby,0
A771387,,05/04/2018 11:05,05/04/2018 11:05,203 San Jose Street in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,,05/04/2018 12:00,05/04/2018 12:00,04/19/2018,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,0
A711973,*Magic,09/14/2015 03:51:00 PM,09/14/2015 03:51:00 PM,1701 Briarcliff Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Collie Smooth Mix,Tan/White,*Magic,09/16/2015 11:12:00 AM,09/16/2015 11:12:00 AM,07/14/2015,Dog,Intact Female,2 months,Collie Smooth Mix,Tan/White,0
A691299,*Lara,11/02/2014 15:12,11/02/2014 15:12,10702 Landshire in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown,*Lara,11/11/2014 12:02,11/11/2014 12:02,11/02/2012,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown,0
A780434,,09/14/2018 05:11:00 PM,09/14/2018 05:11:00 PM,907 Capitol Ct in Austin (TX),Stray,Sick,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby,,09/15/2018 06:15:00 PM,09/15/2018 06:15:00 PM,09/14/2017,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby,1
A721884,*Picasso*,03/06/2016 14:55,03/06/2016 14:55,12034 Research in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Lhasa Apso Mix,White/Black,*Picasso*,03/10/2016 13:42,03/10/2016 13:42,03/06/2014,Dog,Neutered Male,2 years,Lhasa Apso Mix,White/Black,0
A772413,*Iris,05/19/2018 12:58:00 PM,05/19/2018 12:58:00 PM,13506 Palmer Road in Travis (TX),Stray,Nursing,Dog,Intact Female,1 month,Border Collie Mix,Brown Brindle/White,*Iris,06/06/2018 17:59,06/06/2018 17:59,04/12/2018,Dog,Spayed Female,1 month,Border Collie Mix,Brown Brindle/White,0
A792410,Cam,04/10/2019 12:38,04/10/2019 12:38,Kimble Cove in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Labrador Retriever,Black,Cam,04/10/2019 17:53,04/10/2019 17:53,06/10/2018,Dog,Intact Male,9 months,Labrador Retriever,Black,0
A781376,Roly,09/28/2018 11:50:00 AM,09/28/2018 11:50:00 AM,Austin (TX),Stray,Normal,Cat,Intact Male,5 months,Domestic Medium Hair Mix,Brown Tabby,Roly,11/12/2018 13:25,11/12/2018 13:25,04/02/2018,Cat,Neutered Male,7 months,Domestic Medium Hair Mix,Brown Tabby,0
A724687,,04/20/2016 02:37:00 PM,04/20/2016 02:37:00 PM,710 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,St. Bernard Smooth Coat Mix,Tricolor,,04/24/2016 05:04:00 PM,04/24/2016 05:04:00 PM,02/20/2016,Dog,Spayed Female,2 months,St. Bernard Smooth Coat Mix,Tricolor,0
A762993,Luna,12/01/2017 10:41,12/01/2017 10:41,1600 Wickersham in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/Black,Luna,12/10/2017 16:02,12/10/2017 16:02,12/01/2015,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/Black,0
A679024,Lela,05/23/2014 05:21:00 PM,05/23/2014 05:21:00 PM,5604 Southwest Pkwy in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,German Shepherd/Labrador Retriever,Brown,Lela,05/27/2014 02:22:00 PM,05/27/2014 02:22:00 PM,10/23/2013,Dog,Spayed Female,7 months,German Shepherd/Labrador Retriever,Brown,0
A778192,*Craig,08/13/2018 03:10:00 PM,08/13/2018 03:10:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 months,Labrador Retriever Mix,Cream,*Craig,08/18/2018 02:58:00 PM,08/18/2018 02:58:00 PM,03/10/2018,Dog,Neutered Male,5 months,Labrador Retriever Mix,Cream,0
A793716,,04/28/2019 11:23:00 PM,04/28/2019 11:23:00 PM,222 West Ave in Austin (TX),Public Assist,Normal,Other,Unknown,1 year,Bat Mix,Brown,,04/29/2019 08:55:00 AM,04/29/2019 08:55:00 AM,04/28/2018,Other,Unknown,1 year,Bat Mix,Brown,1
A619664,Precious,08/05/2015 11:34,08/05/2015 11:34,6804 Bitteroot Trl in Austin (TX),Stray,Normal,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,White/Tan,Precious,08/11/2015 18:17,08/11/2015 18:17,08/06/2000,Dog,Spayed Female,15 years,Chihuahua Shorthair Mix,White/Tan,0
A738623,*Mattie,11/18/2016 02:38:00 PM,11/18/2016 02:38:00 PM,19024 Great Hills Dr in Travis (TX),Stray,Normal,Dog,Spayed Female,10 years,Australian Cattle Dog Mix,Black/Brown,*Mattie,03/09/2017 13:50,03/09/2017 13:50,11/18/2006,Dog,Spayed Female,10 years,Australian Cattle Dog Mix,Black/Brown,0
A799715,James,07/11/2019 11:46,07/11/2019 11:46,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 months,Labrador Retriever,Black/White,James,07/16/2019 08:19:00 AM,07/16/2019 08:19:00 AM,02/24/2019,Dog,Neutered Male,4 months,Labrador Retriever,Black/White,0
A757542,88,09/03/2017 17:44,09/03/2017 17:44,Outside Jurisdiction,Public Assist,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Yellow,88,10/03/2017 14:10,10/03/2017 14:10,09/03/2016,Dog,Intact Female,1 year,Labrador Retriever Mix,Yellow,0
A779895,*Ginger,09/06/2018 14:01,09/06/2018 14:01,12100 Tunnel Trail in Austin (TX),Stray,Normal,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,*Ginger,09/12/2018 18:35,09/12/2018 18:35,08/06/2018,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,0
A741788,,01/08/2017 17:24,01/08/2017 17:24,N Interstate 35 Frontage Rd And E Braker Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Sable/White,,01/12/2017 19:02,01/12/2017 19:02,11/18/2016,Dog,Neutered Male,1 month,Labrador Retriever Mix,Sable/White,0
A780192,*Shadow,09/11/2018 10:44,09/11/2018 10:44,2503 Park Lane in Webberville (TX),Stray,Normal,Dog,Intact Male,5 months,Border Collie Mix,Black/White,*Shadow,09/18/2018 05:23:00 PM,09/18/2018 05:23:00 PM,04/11/2018,Dog,Neutered Male,5 months,Border Collie Mix,Black/White,0
A669526,,12/21/2013 07:11:00 PM,12/21/2013 07:11:00 PM,15436 Fm 1825 in Travis (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,12/22/2013 09:20:00 AM,12/22/2013 09:20:00 AM,12/21/2012,Other,Unknown,1 year,Bat Mix,Brown,1
A685375,,08/06/2014 13:48,08/06/2014 13:48,5129 Cameron Road in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Silver Tabby,,08/06/2014 19:24,08/06/2014 19:24,07/22/2014,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Silver Tabby,0
A805382,Josephine,09/26/2019 11:30:00 AM,09/26/2019 11:30:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,Josephine,11/03/2019 17:15,11/03/2019 17:15,07/28/2019,Cat,Intact Female,3 months,Domestic Shorthair,Brown Tabby,0
